,DeviceUser_id,Channel_id,Session_start,Session_end,Duration
37275,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 03:46:00.740000+00:00,2021-01-09 03:50:00.740000+00:00,240.0
38854,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 03:58:43.642000+00:00,2021-01-09 04:02:43.642000+00:00,240.0
39790,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 04:07:27.649000+00:00,2021-01-09 04:07:27.649000+00:00,0.0
40196,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 04:12:05.758000+00:00,2021-01-09 04:20:05.758000+00:00,480.0
43592,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 04:55:04.629000+00:00,2021-01-09 04:55:16.629000+00:00,12.0
69657,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 07:25:22.225000+00:00,2021-01-09 07:25:22.225000+00:00,0.0
70385,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 07:28:46.547000+00:00,2021-01-09 07:28:46.547000+00:00,0.0
193072,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 14:45:14.740000+00:00,2021-01-09 14:45:14.740000+00:00,0.0
193270,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 14:45:41.492000+00:00,2021-01-09 14:45:41.492000+00:00,0.0
197324,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 14:55:05.697000+00:00,2021-01-09 14:55:13.697000+00:00,8.0
276826,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 17:57:03.735000+00:00,2021-01-09 17:57:03.735000+00:00,0.0
276994,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 17:57:28.625000+00:00,2021-01-09 17:57:28.625000+00:00,0.0
312846,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 19:34:46.975000+00:00,2021-01-09 19:40:31.975000+00:00,345.0
327630,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 20:03:07.779000+00:00,2021-01-09 20:09:22.779000+00:00,375.0
406537,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 23:08:09.828000+00:00,2021-01-09 23:10:09.828000+00:00,120.0
412048,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 23:38:01.781000+00:00,2021-01-09 23:38:16.781000+00:00,15.0
146721,5f92f13a5d81740017967fd8,59f9c0dfbc95750d006b98f5,2021-01-09 12:45:08.885000+00:00,2021-01-09 12:49:23.885000+00:00,255.0
165900,5f92f13a5d81740017967fd8,59f9c0dfbc95750d006b98f5,2021-01-09 13:36:30.989000+00:00,2021-01-09 13:36:30.989000+00:00,0.0
166000,5f92f13a5d81740017967fd8,59f9c0dfbc95750d006b98f5,2021-01-09 13:36:47.031000+00:00,2021-01-09 14:00:02.031000+00:00,1395.0
189989,5f92f13a5d81740017967fd8,59f9c0dfbc95750d006b98f5,2021-01-09 14:38:07.202000+00:00,2021-01-09 14:38:22.202000+00:00,15.0
